Feature,Gain,Cover,Frequency
item_ma14_lag1,0.2453708157063856,0.05019193724968472,0.05
wday_avg,0.1561999139866812,0.035926911403982874,0.03571428571428571
item_ma28_lag1,0.14787080297679722,0.014275419559583696,0.014285714285714285
item_ma7_lag1,0.12658053740792935,0.06469671142892779,0.06428571428571428
item_ma28_lag7,0.08356819622550922,0.014416774068376778,0.014285714285714285
wday_zero_avg,0.054466764903039006,0.06448329383722058,0.06428571428571428
item_ma7_lag7,0.033996114802302,0.04285536107762025,0.04285714285714286
item_ma14_lag7,0.01890398734298985,0.014338474757133552,0.014285714285714285
item_ma7_lag14,0.015046368662796473,0.028642303801327623,0.02857142857142857
revenu_ma7_lag28,0.013298698094065909,0.042949597416815644,0.04285714285714286
item_ma14_lag21,0.012666505705600031,0.007165426350143433,0.007142857142857143
wday,0.012644267153032598,0.07158220041852022,0.07142857142857142
wday_max,0.010862676910538105,0.035628265358444544,0.03571428571428571
revenu_sd7_lag28,0.008277098573909555,0.05440554885738439,0.05714285714285714
value_lag35,0.007684635370773541,0.028691500713701686,0.02857142857142857
day,0.006672845053726384,0.03577585609556674,0.03571428571428571
item_ma60_lag1,0.005680775181043376,0.07150597985005336,0.07142857142857142
item_ma180_lag28,0.005493172175404427,0.05732964702947657,0.05714285714285714
value_lag29,0.004527942100098858,0.014309372358264388,0.014285714285714285
value_lag42,0.004189193862563059,0.014382128355437299,0.014285714285714285
value_lag28,0.003295809030242094,0.014335703100098393,0.014285714285714285
wday_sd,0.0031269231416659756,0.01432253772918139,0.014285714285714285
value_lag39,0.0029782095559222218,0.03584306877866933,0.03571428571428571
value_lag33,0.002702695270672405,0.014262254188666694,0.014285714285714285
value_lag38,0.002638942799546793,0.021537853905957676,0.02142857142857143
is_zero_sd7_lag28,0.0019730369916030653,0.021438767166950763,0.02142857142857143
snap_density,0.001743886958999032,0.01441608115411799,0.014285714285714285
revenu_lag28,0.0012849092011367011,0.01430382904419407,0.014285714285714285
item_sd180_lag28,0.0012806634994293664,0.014343325156945079,0.014285714285714285
price_std,9.468285177956349e-4,0.014359955099156031,0.014285714285714285
item_sd60_lag28,6.959980231386547e-4,0.007157804293296747,0.007142857142857143
mweek_avg,6.498530780455974e-4,0.0071758200640252776,0.007142857142857143
item_ma60_lag7,5.365936219157631e-4,0.007146717665156114,0.007142857142857143
week,4.632467780265864e-4,0.007155032636261589,0.007142857142857143
full_state_dept_avg,4.458851096376547e-4,0.007233331947504816,0.007142857142857143
value_lag41,4.440678858148126e-4,0.007209772862705969,0.007142857142857143
value_lag30,3.9873686892596423e-4,0.007101678238334789,0.007142857142857143
item_ma14_lag28,3.924014722958964e-4,0.007103756981111158,0.007142857142857143
